objectid,filename,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,object_template,object_download,image_small,image_thumb
ibp057,ibp000.jpg,"An investigation of timber supply and other factors in the closure of a Boise-Cascade lumber mill: Impact upon the community of McCall, Idaho","Spielman, D. P.",1979,,Boise Cascade,Ada County,43.4788,-116.242,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp000.jpg,,
ibp058,ibp058.jpg,J.R. Simplot: A billion the hard way,"Attebery, L. W.",2000,,J.R. Simplot,Ada County,43.4788,-116.242,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp058.jpg,https://lib.uidaho.edu/digital/objects/idahobib/small/ibp058_sm.jpg,https://lib.uidaho.edu/digital/objects/idahobib/thumbs/ibp058_th.jpg
ibp059,ibp000.jpg,The Simplot Idaho story,J.R. Simplot Company,1950,,J.R. Simplot,Ada County,43.4788,-116.242,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp000.jpg,,
ibp060,ibp000.jpg,This is Simplot,J.R. Simplot Company,1985,,J.R. Simplot,Ada County,43.4788,-116.242,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp000.jpg,,
ibp061,ibp000.jpg,Origins of the J.R. Simplot Company,J.R. Simplot Company,1997,,J.R. Simplot,Ada County,43.4788,-116.242,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp000.jpg,,
ibp062,ibp000.jpg,J.R. Simplot Company: Overview,J.R. Simplot Company,2004,,J.R. Simplot,Ada County,43.4788,-116.242,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp000.jpg,,
ibp063,ibp000.jpg,Simplot: Bringing earth's resources to life,J.R. Simplot Company,2009,,J.R. Simplot,Ada County,43.4788,-116.242,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp000.jpg,,
ibp064,ibp000.jpg,"Jack Simplot, a hometown boy who made good",unknown,,undated,J.R. Simplot,Ada County,43.4788,-116.242,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp000.jpg,,
ibp065,ibp000.jpg,I just went to work: Jack Simplot and his business career,"Waite, R. G., & Zelus, P. R.",1995,,J.R. Simplot,Ada County,43.4788,-116.242,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp000.jpg,,
ibp066,ibp000.jpg,Thirty one years in Boise: Forever in our hearts,"Ore-Ida Company., & H.J. Heinz Company",1999,,Ore-Ida,Ada County,43.4788,-116.242,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp000.jpg,,
ibp067,ibp067.jpg,Memories: Joe Albertson,Albertson's Inc.,1993,,Albertson's,Ada County,43.4788,-116.242,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp067.jpg,https://lib.uidaho.edu/digital/objects/idahobib/small/ibp067_sm.jpg,https://lib.uidaho.edu/digital/objects/idahobib/thumbs/ibp067_th.jpg
ibp068,ibp000.jpg,"Albertson's today: Yesterday and tomorrow, 1939-1989",Albertson's Inc.,1989,,Albertson's,Ada County,43.4788,-116.242,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp000.jpg,,
ibp069,ibp069.jpg,Albertson College of Idaho: The second hundred years,"Attebery, L. W.",1999,,Albertson's,Ada County,43.4788,-116.242,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp069.jpg,https://lib.uidaho.edu/digital/objects/idahobib/small/ibp069_sm.jpg,https://lib.uidaho.edu/digital/objects/idahobib/thumbs/ibp069_th.jpg
ibp070,ibp000.jpg,"Yes, there really is a Joe Albertson","Dunn, E.",1978,,Albertson's,Ada County,43.4788,-116.242,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp000.jpg,,
ibp071,ibp071.jpg,J. A. Albertson: Joseph A. Albertson,"Morgan, A. H.",1999,,Albertson's,Ada County,43.4788,-116.242,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp071.jpg,https://lib.uidaho.edu/digital/objects/idahobib/small/ibp071_sm.jpg,https://lib.uidaho.edu/digital/objects/idahobib/thumbs/ibp071_th.jpg
ibp072,ibp072.jpg,"Chinatown, Boise, Idaho, 1870-1970","Hart, A. A.",2002,,Chinatown,Ada County,43.4788,-116.242,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp072.jpg,https://lib.uidaho.edu/digital/objects/idahobib/small/ibp072_sm.jpg,https://lib.uidaho.edu/digital/objects/idahobib/thumbs/ibp072_th.jpg
ibp073,ibp000.jpg,Dantzak: Basque dancing for festival and fun,"Basque Museum and Cultural Center of the Basques in Idaho and the West., & Cenarrusa Center for Basque Studies",2006,,Basque,Ada County,43.4788,-116.242,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp000.jpg,,
ibp074,ibp000.jpg,"Basques, Basque-Americans, American-Basques: Three generations in Boise, Idaho","Bieter, J.",1994,,Basque,Ada County,43.4788,-116.242,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp000.jpg,,
ibp075,ibp000.jpg,Folklore of the Boise Basques,"Bieter, P.",1965,,Basque,Ada County,43.4788,-116.242,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp000.jpg,,
ibp076,ibp076.jpg,Home away from home: A history of Basque boardinghouses,"Echeverria, J.",1999,,Basque,Ada County,43.4788,-116.242,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp076.jpg,https://lib.uidaho.edu/digital/objects/idahobib/small/ibp076_sm.jpg,https://lib.uidaho.edu/digital/objects/idahobib/thumbs/ibp076_th.jpg
ibp077,ibp077.jpg,Kashpar: The saga of the Basque immigrants to North America,"Eiguren, J., & Basque Museum and Cultural Center of the Basques in Idaho and the West",1988,,Basque,Ada County,43.4788,-116.242,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp077.jpg,https://lib.uidaho.edu/digital/objects/idahobib/small/ibp077_sm.jpg,https://lib.uidaho.edu/digital/objects/idahobib/thumbs/ibp077_th.jpg
ibp078,ibp078.jpg,Basques of Boise: Adult dietary culture and tradition,"Fillmore, C. A.",2008,,Basque,Ada County,43.4788,-116.242,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp078.jpg,https://lib.uidaho.edu/digital/objects/idahobib/small/ibp078_sm.jpg,https://lib.uidaho.edu/digital/objects/idahobib/thumbs/ibp078_th.jpg
ibp079,ibp000.jpg,"A population and family study of Basques living in Shoshone and Boise, Idaho","Gray, M. P.",1955,,Basque,Ada County,43.4788,-116.242,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp000.jpg,,
ibp080,ibp080.jpg,Biskaia to Boise: The memoirs of Pete T. Cenarrusa,"Kenyon, Q., Cenarrusa, P. T., & University of Nevada, Reno",2009,,Basque,Ada County,43.4788,-116.242,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp080.jpg,https://lib.uidaho.edu/digital/objects/idahobib/small/ibp080_sm.jpg,https://lib.uidaho.edu/digital/objects/idahobib/thumbs/ibp080_th.jpg
ibp081,ibp081.jpg,Oinkari Basque Dancers: 50 years of memories,Oinkari Basque Dancers,2009,,Basque,Ada County,43.4788,-116.242,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp081.jpg,https://lib.uidaho.edu/digital/objects/idahobib/small/ibp081_sm.jpg,https://lib.uidaho.edu/digital/objects/idahobib/thumbs/ibp081_th.jpg
ibp082,ibp082.jpg,West of the Basque,"Peck, J., Moreno, A., & Idaho Public Television",2005,,Basque,Ada County,43.4788,-116.242,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp082.jpg,https://lib.uidaho.edu/digital/objects/idahobib/small/ibp082_sm.jpg,https://lib.uidaho.edu/digital/objects/idahobib/thumbs/ibp082_th.jpg
ibp083,ibp000.jpg,"Inventing the Basque Block: Heritage Tourism and Identity Politics in Boise, Idaho","Su, Xiaobo, & Hill, Gretchen",,undated,Basque,Ada County,43.4788,-116.242,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp000.jpg,,
ibp084,ibp084.jpg,Boise Basques: Dreamers and doers,"Totoricaguena, G. P., & University of Nevada, Reno",2004,,Basque,Ada County,43.4788,-116.242,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp084.jpg,https://lib.uidaho.edu/digital/objects/idahobib/small/ibp084_sm.jpg,https://lib.uidaho.edu/digital/objects/idahobib/thumbs/ibp084_th.jpg
ibp085,ibp085.jpg,Basque dance,"Ysursa, J. M.",1995,,Basque,Ada County,43.4788,-116.242,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp085.jpg,https://lib.uidaho.edu/digital/objects/idahobib/small/ibp085_sm.jpg,https://lib.uidaho.edu/digital/objects/idahobib/thumbs/ibp085_th.jpg
