objectid,filename,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,object_template,object_download,image_small,image_thumb
ibp001,ibp001.jpg,Peter Skene Ogden: Fur trader,"Binns, A.",1967-01-01,,Fur Trapping,Ada County,43.4788,-116.242,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp001.jpg,https://lib.uidaho.edu/digital/objects/idahobib/small/ibp001_sm.jpg,https://lib.uidaho.edu/digital/objects/idahobib/thumbs/ibp001_th.jpg
ibp002,ibp002.jpg,"River of beaver, stream of gold","Carney, E.",1994,,Fur Trapping,Ada County,43.4788,-116.242,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp002.jpg,https://lib.uidaho.edu/digital/objects/idahobib/small/ibp002_sm.jpg,https://lib.uidaho.edu/digital/objects/idahobib/thumbs/ibp002_th.jpg
ibp003,ibp003.jpg,Peter Skene Ogden and the Hudson's Bay Company,"Cline, G. G.",1974,,Fur Trapping,Ada County,43.4788,-116.242,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp003.jpg,https://lib.uidaho.edu/digital/objects/idahobib/small/ibp003_sm.jpg,https://lib.uidaho.edu/digital/objects/idahobib/thumbs/ibp003_th.jpg
ibp004,ibp000.jpg,Explorations and fur trade in Idaho (1805-1846): An historical narrative of the explorations made by fur trappers in that portion of the Orego n Country which later became the State of Idaho,"De Jong, J. T. B.",1957,,Fur Trapping,Ada County,43.4788,-116.242,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp000.jpg,,
ibp005,ibp005.jpg,"The pioneer life of George W. Goodhart, and his association with the Hudson's bay and American fur company's traders and trappers: Trails of early Idaho","Goodhart, G. W., & Anderson, A. C.",1940,,Fur Trapping,Ada County,43.4788,-116.242,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp005.jpg,https://lib.uidaho.edu/digital/objects/idahobib/small/ibp005_sm.jpg,https://lib.uidaho.edu/digital/objects/idahobib/thumbs/ibp005_th.jpg
ibp006,ibp000.jpg,"Idaho--crossroads of the fur trader, explorer","Mark, F. A.",1957,,Fur Trapping,Ada County,43.4788,-116.242,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp000.jpg,,
ibp007,ibp000.jpg,"The operations of British fur trading companies in Idaho, with special reference to the Snake country expeditions.","Nielsen, J. C.",1934,,Fur Trapping,Ada County,43.4788,-116.242,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp000.jpg,,
ibp008,ibp008.jpg,"Snake Country journals, 1824-25 and 1825-26","Ogden, P. S.",1950,,Fur Trapping,Ada County,43.4788,-116.242,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp008.jpg,https://lib.uidaho.edu/digital/objects/idahobib/small/ibp008_sm.jpg,https://lib.uidaho.edu/digital/objects/idahobib/thumbs/ibp008_th.jpg
ibp009,ibp009.jpg,"Snake Country journal, 1826-27","Ogden, P. S., & Davies, K. G.",1961,,Fur Trapping,Ada County,43.4788,-116.242,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp009.jpg,https://lib.uidaho.edu/digital/objects/idahobib/small/ibp009_sm.jpg,https://lib.uidaho.edu/digital/objects/idahobib/thumbs/ibp009_th.jpg
ibp010,ibp010.jpg,"Peter Skene Ogden's Snake Country journals, 1827-28 and 1828-29","Ogden, P. S., & In Williams, G.",1971,,Fur Trapping,Ada County,43.4788,-116.242,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp010.jpg,https://lib.uidaho.edu/digital/objects/idahobib/small/ibp010_sm.jpg,https://lib.uidaho.edu/digital/objects/idahobib/thumbs/ibp010_th.jpg
ibp011,ibp011.jpg,Traits of American Indian life & character,"Ogden, P. S., In Watson, D. S., & Grabhorn Press",1933,,Fur Trapping,Ada County,43.4788,-116.242,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp011.jpg,https://lib.uidaho.edu/digital/objects/idahobib/small/ibp011_sm.jpg,https://lib.uidaho.edu/digital/objects/idahobib/thumbs/ibp011_th.jpg
ibp012,ibp012.jpg,"Desert people and mountain men: Exploration of the Great Basin, 1824-1865","Phillips, F. M.",1977,,Fur Trapping,Ada County,43.4788,-116.242,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp012.jpg,https://lib.uidaho.edu/digital/objects/idahobib/small/ibp012_sm.jpg,https://lib.uidaho.edu/digital/objects/idahobib/thumbs/ibp012_th.jpg
ibp013,ibp013.jpg,Contested empire: Peter Skene Ogden and the Snake River expeditions,"Reid, J. P.",2002,,Fur Trapping,Ada County,43.4788,-116.242,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp013.jpg,https://lib.uidaho.edu/digital/objects/idahobib/small/ibp013_sm.jpg,https://lib.uidaho.edu/digital/objects/idahobib/thumbs/ibp013_th.jpg
ibp014,ibp000.jpg,The Snake Country Freemen: British free trappers in Idaho,"Simpson, C. E.",1990,,Fur Trapping,Ada County,43.4788,-116.242,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp000.jpg,,
ibp015,ibp000.jpg,Peter Skene Ogden and the fur trade of the great Northwest,"Warner, T. J.",1958,,Fur Trapping,Ada County,43.4788,-116.242,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp000.jpg,,
ibp016,ibp016.jpg,Mountain men of Idaho,"Williamson, D.",1990,,Fur Trapping,Ada County,43.4788,-116.242,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp016.jpg,https://lib.uidaho.edu/digital/objects/idahobib/small/ibp016_sm.jpg,https://lib.uidaho.edu/digital/objects/idahobib/thumbs/ibp016_th.jpg
ibp017,ibp000.jpg,The Ward Massacre or the Snake River Massacre,"Lang, H. O.",1885,,Ward and Otter Massacres,Ada County,43.7068,-116.6201,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp000.jpg,,
ibp018,ibp018.jpg,The Boise Massacre on the Oregon Trail: Attack on the Ward party in 1854 and massacres of 1859,"Shannon, D. H.",2004,,Ward and Otter Massacres,Ada County,43.7068,-116.6201,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp018.jpg,https://lib.uidaho.edu/digital/objects/idahobib/small/ibp018_sm.jpg,https://lib.uidaho.edu/digital/objects/idahobib/thumbs/ibp018_th.jpg
ibp019,ibp019.jpg,Old Fort Boise,"Bird, A. L., & Yensen, A. E.",1971,,Fort Boise,Ada County,43.824606,-117.01988,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp019.jpg,https://lib.uidaho.edu/digital/objects/idahobib/small/ibp019_sm.jpg,https://lib.uidaho.edu/digital/objects/idahobib/thumbs/ibp019_th.jpg
ibp020,ibp000.jpg,"Francois Payette: Fur trapper, interpreter, voyageur at Fort Boise","Craig, H. L.",,undated,Fort Boise,Ada County,43.824606,-117.01988,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp000.jpg,,
ibp021,ibp000.jpg,"Location of Fort Boise, 1834-1855",Idaho State Historical Society,1960,,Fort Boise,Ada County,43.824606,-117.01988,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp000.jpg,,
ibp022,ibp022.png,"Text of the Treaty of Fort Boise, October 10, 1864",Idaho State Historical Society,1965,,Fort Boise,Ada County,43.824606,-117.01988,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp022.jpg,https://lib.uidaho.edu/digital/objects/idahobib/small/ibp022_sm.jpg,https://lib.uidaho.edu/digital/objects/idahobib/thumbs/ibp022_th.jpg
ibp023,ibp000.jpg,Fort Boise (United States Army),Idaho State Historical Society,1971,,Fort Boise,Ada County,43.824606,-117.01988,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp000.jpg,,
ibp024,ibp000.jpg,An historical study of the establishment of Boise City and Fort Boise,"Illingworth, G. P.",1937,,Fort Boise,Ada County,43.824606,-117.01988,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp000.jpg,,
ibp025,ibp000.jpg,"Grandpa's diary: The story of a Civil War Drummer Boy, Wilbur Huntington","Proctor, W. H.",1864,,Fort Boise,Ada County,43.824606,-117.01988,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp000.jpg,,
ibp026,ibp000.jpg,"A history of the early origins of the Oregon Trail, 1811-1834, between Three Island Crossing, Idaho, and old Fort Boise, Idaho","Schoonover, L., & Snake River Regional Studies Center",1972,,Fort Boise,Ada County,43.824606,-117.01988,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp000.jpg,,
ibp027,ibp000.jpg,"Thunder Mountain, Idaho, the world's greatest gold field","Murphy, I. I.",1902,,Mines,Ada County,42.1716,-113.6136,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp000.jpg,,
ibp028,ibp028.jpg,Geology and mineral resources of Ada and Canyon Counties,"Savage, C. N.",1958,,Mines,Ada County,43.4788,-116.242,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp028.jpg,https://lib.uidaho.edu/digital/objects/idahobib/small/ibp028_sm.jpg,https://lib.uidaho.edu/digital/objects/idahobib/thumbs/ibp028_th.jpg
ibp029,ibp000.jpg,"L. L. Packer, gold miner's daughters, the education of, 1930-1943","Victory, I. V. P., & Packer, M. E.",2006,,Mines,Ada County,43.4788,-116.242,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp000.jpg,,
ibp030,ibp030.jpg,The old man who talked to the trees: Restoration of the Idaho State Capitol,"Baird, D., & Gregory, S. H.",2009,,Capitol,Ada County,43.615,-116.2023,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp030.jpg,https://lib.uidaho.edu/digital/objects/idahobib/small/ibp030_sm.jpg,https://lib.uidaho.edu/digital/objects/idahobib/thumbs/ibp030_th.jpg
ibp031,ibp000.jpg,The political clash between north and south Idaho over the capital,,1938,,Capitol,Ada County,43.615,-116.2023,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp000.jpg,,
ibp032,ibp000.jpg,Idaho state capitol,Idaho State Historical Society,1964,,Capitol,Ada County,43.615,-116.2023,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp000.jpg,,
ibp033,ibp000.jpg,Location of Idaho's territorial capital,Idaho State Historical Society,1964,,Capitol,Ada County,43.615,-116.2023,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp000.jpg,,
ibp034,ibp000.jpg,Ida visits the Capitol,"Otter, L., Idaho., & Boise State University",2008,,Capitol,Ada County,43.615,-116.2023,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp000.jpg,,
ibp035,ibp000.jpg,"Articles of consolidation and agreement between the Oregon Short Line Railway Company, the Utah and Northern Railway Company, the Utah Central Railway Company, the Salt Lake and Western Railway Company, the Utah and Nevada Railway Company, the Ogden and Syracuse Railway Company, the Idaho Central Railway Company, and the Nevada Pacific Railway Company",unknown,1889,,Railroad,Ada County,43.4788,-116.242,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp000.jpg,,
ibp036,ibp000.jpg,"Showing scenery along the route of Boise and Interurban Railway, Boise and Caldwell","Boise and Interurban Railway Company, Ltd",1907,,Railroad,Ada County,43.4788,-116.242,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp000.jpg,,
ibp037,ibp000.jpg,"Boise, Idaho",Boise Commercial Club,1913,,Railroad,Ada County,43.4788,-116.242,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp000.jpg,,
ibp038,ibp000.jpg,Steel rails and territorial tales: Forty months building the Oregon Short Line Railroad through Idaho : a memoir,"Coleman, E. P., Nicholson, P. S., & Wells, M. W.",1994,,Railroad,Ada County,43.4788,-116.242,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp000.jpg,,
ibp039,ibp039.jpg,P & IN To The Golden Heart of Idaho: The story of the Pacific & Idaho Northern Railway,"Fisk, D., & Dopf, D.",2001,,Railroad,Ada County,43.4788,-116.242,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp039.jpg,https://lib.uidaho.edu/digital/objects/idahobib/small/ibp039_sm.jpg,https://lib.uidaho.edu/digital/objects/idahobib/thumbs/ibp039_th.jpg
ibp040,ibp000.jpg,Steam trains in Idaho in the nineteenth and twentieth centuries,"Hart, A. A., & Griffiths, H. R.",1972,,Railroad,Ada County,43.4788,-116.242,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp000.jpg,,
ibp041,ibp041.jpg,Railroads and clearcuts: Legacy of Congress's 1864 Northern Pacific Railroad land grant,"Jensen, D., Draffan, G., Osborn, J., & Inland Empire Public Lands Council",1995,,Railroad,Ada County,43.4788,-116.242,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp041.jpg,https://lib.uidaho.edu/digital/objects/idahobib/small/ibp041_sm.jpg,https://lib.uidaho.edu/digital/objects/idahobib/thumbs/ibp041_th.jpg
ibp042,ibp000.jpg,"Union Pacific Freight Station, Boise, Idaho","King, C. S.",1990,,Railroad,Ada County,43.615,-116.2023,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp000.jpg,,
ibp043,ibp043.jpg,Railroads down the valleys: Some short lines of the Oregon country,"Mills, R. V.",1950,,Railroad,Ada County,43.4788,-116.242,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp043.jpg,https://lib.uidaho.edu/digital/objects/idahobib/small/ibp043_sm.jpg,https://lib.uidaho.edu/digital/objects/idahobib/thumbs/ibp043_th.jpg
ibp044,ibp044.jpg,"Union Pacific rails to the mines: The Boise, Nampa & Owyhee Railway","Waite, T.",1999,,Railroad,Ada County,43.4788,-116.242,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp044.jpg,https://lib.uidaho.edu/digital/objects/idahobib/small/ibp044_sm.jpg,https://lib.uidaho.edu/digital/objects/idahobib/thumbs/ibp044_th.jpg
ibp045,ibp000.jpg,A history of the development of the Boise Irrigation Project,"Carlton, N. H.",1969,,Diversion Dam,Ada County,43.53633119,-116.0898,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp000.jpg,,
ibp046,ibp000.jpg,The Boise Project,"Simonds, W. J., & United States",1997,,Diversion Dam,Ada County,43.53633119,-116.0898,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp000.jpg,,
ibp047,ibp000.jpg,Boise diversion dam,United States,1978,,Diversion Dam,Ada County,43.53633119,-116.0898,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp000.jpg,,
ibp048,ibp048.jpg,"Morrison-Knudsen Company, inc: Fifty years of construction progress","Bonny, J. B.",1962,,Morrison-Knudsen,Ada County,43.4788,-116.242,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp048.jpg,https://lib.uidaho.edu/digital/objects/idahobib/small/ibp048_sm.jpg,https://lib.uidaho.edu/digital/objects/idahobib/thumbs/ibp048_th.jpg
ibp049,ibp000.jpg,Diary of Ann Morrison: A chronological revision and enlargement of a series of narratives published monthly in the Em-Kayan magazine under the serial heading Those were the days,"Morrison, A., & Hoobing, C.",1951,,Morrison-Knudsen,Ada County,43.4788,-116.242,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp000.jpg,,
ibp050,ibp050.jpg,The bluebird will sing tomorrow: Memoirs of Velma V. Morrison,"Morrison, V. V., & Fleischman, K. D.",2003,,Morrison-Knudsen,Ada County,43.4788,-116.242,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp050.jpg,https://lib.uidaho.edu/digital/objects/idahobib/small/ibp050_sm.jpg,https://lib.uidaho.edu/digital/objects/idahobib/thumbs/ibp050_th.jpg
ibp051,ibp000.jpg,"Modern pioneers: Typical operations of Morrison-Knudsen Company, inc., Contractors and Engineers, Boise, Idaho","Morrison-Knudsen Company, inc.",1949,,Morrison-Knudsen,Ada County,43.4788,-116.242,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp000.jpg,,
ibp052,ibp000.jpg,"Honoring H.W. Morrison and commemorating the fortieth anniversary of Morrison-Knudsen Company, Inc. Boise, Idaho","Morrison-Knudsen Company, inc.",1952,,Morrison-Knudsen,Ada County,43.4788,-116.242,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp000.jpg,,
ibp053,ibp000.jpg,A biography of Harry Winford Morrison,"Schraufnagel, D. T.",1972,,Morrison-Knudsen,Ada County,43.4788,-116.242,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp000.jpg,,
ibp054,ibp054.jpg,Big dams and other dreams: The Six Companies story,"Wolf, D. E.",1996,,Morrison-Knudsen,Ada County,43.4788,-116.242,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp054.jpg,https://lib.uidaho.edu/digital/objects/idahobib/small/ibp054_sm.jpg,https://lib.uidaho.edu/digital/objects/idahobib/thumbs/ibp054_th.jpg
ibp055,ibp000.jpg,Corporate power and the mismarketing of urban development: Boise Cascade recreation communities,"Boschken, H. L.",1974,,Boise Cascade,Ada County,43.4788,-116.242,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp000.jpg,,
ibp056,ibp000.jpg,"The closing of the McCall Mill: Resource protection or timber supply, which way for Idaho forests?","Bull, R. E.",1978,,Boise Cascade,Ada County,43.4788,-116.242,,,Text,,eng,,,book_record,https://lib.uidaho.edu/digital/objects/idahobib/ibp000.jpg,,
